Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassey,9.36027875579152E-18,7.77915058758349E-18,0,0,0,0,0.075,3.578125E-05,6.77626357803441E-23,0,9.765625E-05,5.64688631502867E-22,6.3125E-05,0,0,0,0,0,0,package://cargebo_gazebo/meshes/chassey.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cargebo_gazebo/meshes/chassey.STL,,base-2-5-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_r,4.4062E-15,4.2397E-15,-0.005,0,0,0,0.0070686,4.5651E-07,-5.294E-23,9.8527E-24,4.5651E-07,-4.8504E-25,7.9522E-07,0,0,0,0,0,0,package://cargebo_gazebo/meshes/rear_r.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cargebo_gazebo/meshes/rear_r.STL,,front_wheel-3-23^Assem1-1,Origin_rear_r_joint2,Axis_rear_r_joint2,rear_r_joint,continuous,-0.04,0.0375,0,0,0,0,chassey,0,0,1,,,,,,,,,,,,
rear_l,-7.7022E-16,-1.045E-14,0.005,0,0,0,0.0070686,4.5651E-07,5.294E-23,-4.6788E-22,4.5651E-07,-4.662E-22,7.9522E-07,0,0,0,0,0,0,package://cargebo_gazebo/meshes/rear_l.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cargebo_gazebo/meshes/rear_l.STL,,front_wheel-3-19^Assem1-1,Origin_rear_l_joint2,Axis_rear_l_joint2,rear_l_joint,continuous,-0.04,-0.0375,0,0,0,0,chassey,0,0,1,,,,,,,,,,,,
front_l,-6.9389E-18,2.3079E-50,0.005,0,0,0,0.0070686,4.5651E-07,9.5586E-55,-3.2283E-40,4.5651E-07,-1.0245E-39,7.9522E-07,0,0,0,0,0,0,package://cargebo_gazebo/meshes/front_l.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cargebo_gazebo/meshes/front_l.STL,,rear_wheel-2-21^Assem1-1,Origin_front_l_joint2,Axis_front_l_joint2,front_l_joint,continuous,0.04,-0.0375,0,0,0,0,chassey,0,0,1,,,,,,,,,,,,
front_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://cargebo_gazebo/meshes/front_r.STL,1,1,1,1,0,0,0,0,0,0,package://cargebo_gazebo/meshes/front_r.STL,,rear_wheel-2-22^Assem1-1,Origin_front_r_joint2,Axis_front_r_joint2,front_r_joint,continuous,0.04,0.0375,0,0,0,0,chassey,0,0,1,,,,,,,,,,,,
